"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.2236,216,65.9955,249,99.5984,319,102.627,292,109.231,216,111.105,216,-8.4779,262
"2026","Air Force",66.9284,266,65.1599,293,91.1623,362,95.2654,358,115.981,321,114.349,274,-19.0833,347
"2026","Akron",71.7964,43,70.5072,33,123.096,7,120.91,43,105.258,113,106.871,115,14.0391,52
"2026","Alabama",75.5173,3,73.304,4,120.883,20,127.829,3,109.148,214,103.074,66,24.7556,21
"2026","Alabama A&M",68.1322,221,65.8016,256,102.396,279,101.73,310,108.885,206,114.286,273,-12.5559,304
"2026","Alabama St.",72.1274,35,69.8996,57,99.9422,315,101.829,309,112.862,279,115.625,295,-13.7962,310
"2026","Albany",66.5088,290,65.6314,266,102.275,283,102.578,293,114.145,302,116.338,309,-13.7606,309
"2026","Alcorn St.",70.1143,117,67.5744,167,94.2001,352,98.7508,341,119.559,354,118.161,330,-19.4105,350
"2026","American",67.7292,231,67.4583,174,106.335,213,104.788,255,108.41,191,110.584,193,-5.79576,230
"2026","Appalachian St.",63.8563,357,62.529,360,106.124,216,105.604,240,103.335,78,106.987,118,-1.38337,182
"2026","Arizona",73.1858,19,71.0299,24,122.034,12,127.118,4,93.3972,5,90.7852,3,36.3325,1
"2026","Arizona St.",71.617,49,69.6161,69,110.556,127,118.094,65,111.712,261,107.322,126,10.7719,77
"2026","Arkansas",72.6307,29,70.8728,27,122.207,11,126.251,8,107.211,157,103.206,67,23.0454,25
"2026","Arkansas Pine Bluff",72.9645,22,69.8687,59,100.485,307,103.59,280,117.531,338,117.128,318,-13.5383,308
"2026","Arkansas St.",72.3767,32,71.4918,20,108.903,168,110.63,146,109.549,224,111.475,225,-0.845605,171
"2026","Army",67.3022,248,66.3934,229,104.73,243,103.157,286,116.698,332,120.164,348,-17.0063,338
"2026","Auburn",69.684,137,67.4409,175,119.524,26,125.425,12,110.108,232,103.528,70,21.8966,26
"2026","Austin Peay",70.5835,92,69.3477,82,108.192,175,105.856,238,102.606,70,106.094,103,-0.237631,164
"2026","Ball St.",65.3688,328,63.5409,343,98.3241,330,99.6944,334,111.647,258,114.08,270,-14.3858,319
"2026","Baylor",70.4212,101,68.24,133,115.66,66,121.593,36,108.266,184,106.131,105,15.4625,51
"2026","Bellarmine",66.6531,284,64.6359,318,115.076,71,113.233,110,124.307,363,123.98,363,-10.7471,287
"2026","Belmont",70.3625,104,68.9156,102,118.501,35,120.832,44,103.019,73,107.513,129,13.3193,57
"2026","Bethune Cookman",70.888,83,68.6691,112,102.398,278,104.826,254,109.748,227,109.423,161,-4.59671,222
"2026","Binghamton",65.1382,333,65.1514,294,97.3425,336,96.2992,354,115.8,317,122.224,358,-25.9251,362
"2026","Boise St.",67.5632,238,66.5007,221,111.505,112,115.911,76,104.78,106,102.721,61,13.1897,59
"2026","Boston College",65.9601,309,65.5395,272,99.55,321,103.632,277,101.195,51,101.478,50,2.15403,144
"2026","Boston University",63.898,356,63.2452,349,111.807,109,110.328,154,116.231,327,121.319,354,-10.9908,290
"2026","Bowling Green",69.9998,124,67.9127,150,111.141,117,109.444,175,100.987,47,105.757,97,3.68691,127
"2026","Bradley",68.6199,201,67.6271,164,110.415,131,111.714,131,105.408,116,109.002,150,2.71179,137
"2026","Brown",66.2464,298,65.7721,257,97.5198,333,97.5421,349,104.158,91,107.592,132,-10.0498,280
"2026","Bryant",64.9389,337,64.145,327,93.732,356,97.675,348,111.28,254,117.191,319,-19.5158,351
"2026","Bucknell",67.0704,256,66.2518,237,99.9174,316,100.586,320,113.648,291,115.391,292,-14.8042,324
"2026","Buffalo",67.7878,228,66.3431,231,116.079,61,114.095,102,112.018,268,115.471,294,-1.37644,181
"2026","Butler",70.9365,80,69.1421,88,113.915,82,117.946,66,107.274,160,106.36,108,11.5862,73
"2026","BYU",71.2024,67,70.0471,50,121.407,16,125.912,10,101.036,49,99.8373,32,26.0746,15
"2026","Cal Baptist",67.5446,240,65.2368,287,107.724,182,109.691,165,101.41,53,105.276,87,4.41486,118
"2026","Cal Poly",76.0238,1,73.6327,2,105.054,232,107.826,202,114.096,301,114.711,282,-6.88473,247
"2026","Cal St. Bakersfield",71.478,55,69.5552,72,99.7041,318,102.078,303,113.513,289,116.062,303,-13.9843,314
"2026","Cal St. Fullerton",76.0155,2,73.4165,3,105.462,226,107.817,203,110.587,240,109.803,171,-1.98651,188
"2026","California",68.8316,188,66.6808,214,112.481,99,115.426,79,102.63,71,101.915,52,13.5112,54
"2026","Campbell",71.1107,72,70.3345,42,107.3,191,111.078,137,116.129,324,115.283,290,-4.20504,215
"2026","Canisius",63.9113,355,63.8834,333,96.6046,343,96.8342,353,112.343,272,115.844,300,-19.0103,346
"2026","Central Arkansas",69.5698,140,68.1012,140,109.729,148,108.448,188,108.481,193,110.458,189,-2.00927,190
"2026","Central Connecticut",65.5187,324,64.773,314,106.316,214,105.277,247,110.825,248,116.972,317,-11.6948,295
"2026","Central Michigan",68.6726,197,66.8339,207,102.922,272,104.884,252,116.004,322,115.777,299,-10.8937,288
"2026","Charleston",69.2076,161,67.9819,147,110.273,134,109.204,179,108.922,209,109.391,159,-0.187317,162
"2026","Charleston Southern",73.6297,15,71.5651,19,106.862,202,104.785,256,106.005,122,110.904,206,-6.11923,235
"2026","Charlotte",63.7121,358,62.9464,354,113.979,80,114.259,98,112.171,270,114.392,276,-0.132411,161
"2026","Chattanooga",67.2044,252,66.1903,241,106.055,218,104.091,270,114.77,306,115.054,286,-10.9627,289
"2026","Chicago St.",67.2083,251,66.4594,225,95.5678,346,98.3009,345,118.327,346,120.064,346,-21.7636,354
"2026","Cincinnati",70.3994,102,68.103,139,101.303,297,107.074,219,96.4376,15,94.2203,10,12.8533,62
